,코인 명,공시 명,날짜,마켓,전일 종가,최저가,최고가,BTC 상승률,상승률
143,SOLVE, Solve.Care에서 의사들을 글로벌 원격의료 익스체인지(GTHE)로 맞이한다,2020.12.24,KRW,112.0,99.3,112.0,-1.48%,0.0%
144,UPP," 웁살라시큐리티, 헥슬란트 ‘옥텟 월렛’서비스에 가상자산 AML 솔루션 통합 계약 체결",2020.12.24,KRW,25.4,21.0,25.4,-1.48%,0.0%
145,TT," 썬더코어 하드포크, TT 메인넷 Soter 로 업그레이드",2020.12.23,KRW,5.53,5.24,5.63,5.47%,1.81%
146,MLK," 밀크, 도서문화상품권 거래 기능 개발 완료",2020.12.22,KRW,199.0,180.0,206.0,-1.9%,3.52%
147,CBK, CBK 토큰 분배 일정,2020.12.22,조회 불가,조회 불가,조회 불가,조회 불가,-0.019049459,조회 불가
148,IQ," 사회적 기업 아이부키, 에브리피디아와 커뮤니티 협업 및 토큰 결제 모델 공동 연구",2020.12.21,KRW,3.18,2.93,3.2,-1.1%,0.63%
149,MOC," 모스랜드, 2020 4Q 모스코인 바이백 결과 안내",2020.12.21,KRW,25.1,23.0,25.6,-1.1%,1.99%
150,PLA, 플레이댑 (PLA) 토큰 발행량 대량 소각 완료 공시,2020.12.18,KRW,204.0,174.0,239.0,8.1%,17.16%
151,BORA," BORA(보라), 카카오 계열사 ‘카카오게임즈’로부터 콜옵션 행사로 인한 대주주 변경 안내",2020.12.17,KRW,39.6,39.3,45.8,8.46%,15.66%
152,QKC," 쿼크체인, 메인넷 '빅뱅 (BigBang)' 출시",2020.12.17,KRW,5.79,5.48,6.06,8.46%,4.66%
153,HUNT, 마일스톤 달성 - 네버루즈머니 출시 및 보안감사 완료,2020.12.16,KRW,57.2,55.3,65.0,0.78%,13.64%
154,PLA, 플레이댑 (PLA) 토큰 발행량 18 억개(72%) 소각 계획 공시,2020.12.16,KRW,142.0,139.0,146.0,0.78%,2.82%
155,FCT2," 피르마체인(FCT2), 장내 매수 진행 공시",2020.12.16,KRW,62.0,58.8,62.1,0.78%,0.16%
156,GOM2, 애니멀고파크 제주신화월드 입점 계약 및 패키지 상품 출시 협약,2020.12.11,BTC,1.19e-06,1.16e-06,1.35e-06,-1.56%,13.45%
157,ENJ," 비디오 게임사 Atari, 엔진과의 협업을 통해 블록체인 게임 본격 진출",2020.12.11,KRW,154.0,150.0,158.0,-1.56%,2.6%
158,STMX, StormX 스테이킹 기능 출시,2020.12.11,KRW,2.69,2.58,2.76,-1.56%,2.6%
159,HBAR," 덴튼스, 헤데라 거버닝 카운슬 새 멤버로 합류",2020.12.10,KRW,39.6,36.4,40.3,1.28%,1.77%
160,MVL," 엠블 랩스(MVL LABS), 대한민국 4 차 산업혁명 과학정보통신위원회 위원장상 수상",2020.12.10,KRW,3.58,2.89,3.9,1.28%,8.94%
161,FCT2, 피르마체인(FCT2) 현재 유통량 및 향후 계획 공시,2020.12.09,KRW,72.7,66.4,135.0,-3.96%,85.69%
162,MED," 메디블록, 목포한국병원과 실손 보험 간편 청구 서비스 연동 완료",2020.12.09,KRW,5.77,5.42,6.2,-3.96%,7.45%
163,OBSR, 옵저버 토큰(OBSR) 재락업 및 발행량과 유통량 공시,2020.12.08,KRW,7.29,7.04,9.47,-0.68%,29.9%
164,RINGX," RINGX 재단, 커피에반하다 업무 제휴 협약 체결",2020.12.08,BTC,3.4e-06,3.27e-06,6.4e-06,-0.68%,88.24%
165,HBAR, 헤데라토큰 서비스 백서 및 테스트넷 엑세스 런칭,2020.12.08,KRW,40.2,39.9,45.3,-0.68%,12.69%
166,MED," 메디블록, 현대해상과 실손 보험 간편 청구 서비스 연동 완료",2020.12.08,KRW,5.63,5.6,5.92,-0.68%,5.15%
167,GOM2," 애니멀고, 탐앤탐스와 업무협약",2020.12.07,BTC,9.6e-07,9.4e-07,1.08e-06,0.94%,12.5%
168,MVL," 엠블 랩스(MVL LABS), 명신 산업과 E-PowerTrain 공동 개발…10,000 대 양산 예정",2020.12.07,KRW,4.31,4.22,5.82,0.94%,35.03%
169,AQT, Alpha Quark Limited(알파쿼크리미티드) 페이코인의 운영주체인 다날핀테크(Danal Fintech)와 업무협약 체결,2020.12.04,KRW,2535.0,2525.0,4170.0,0.39%,64.5%
170,PCI," 페이코인, 글로벌 페이먼트 플랫폼 '알파쿼크(Alpha Quark)'와 업무협약(MOU) 체결",2020.12.04,KRW,184.0,174.0,196.0,0.39%,6.52%
171,CTSI, 카르테시 IR 공시,2020.12.03,BTC,2.18e-06,2.03e-06,2.4e-06,1.1%,10.09%
172,FCT2," 피르마체인, ‘DTT 얼라이언스’ 파트너십 합류",2020.12.04,조회 불가,조회 불가,조회 불가,조회 불가,0.0038868086,조회 불가
173,META, 메타디움 발행량 및 유통량 공시,2020.12.03,KRW,14.0,11.2,26.1,1.1%,86.43%
174,META," 파이낸셜뉴스, 메타디움 블록체인 기반 설문조사 서비스 fnSurvey 출시",2020.12.03,KRW,14.0,11.2,26.1,1.1%,86.43%
175,PLA," 플레이댑 ‘크립토도저’ 이모티콘, AI 기반 글로벌 이모티콘 플랫폼 ‘모히톡’ 에 공급",2020.12.02,KRW,174.0,169.0,204.0,-2.1%,17.24%
